"country_name","number_of_genomes"
"United Arab Emirates","164"
"Afghanistan","58"
"Anguilla","1"
"Albania","46"
"Armenia","52"
"Angola","5"
"Antarctica","8"
"Argentina","1236"
"Austria","1858"
"Australia","40818"
"Azerbaijan","1"
"Bangladesh","4644"
"Belgium","5388"
"Burkina Faso","139"
"Bulgaria","146"
"Bahrain","52"
"Benin","71"
"Bolivia (Plurinational State of)","114"
"Brazil","3278"
"Botswana","851"
"Belarus","86"
"Canada","22811"
"Democratic Republic of the Congo","425"
"Central African Republic","10"
"Congo","1"
"Switzerland","9120"
"C�te D'Ivoire (Ivory Coast)","17"
"Chile","1831"
"Cameroon","58"
"China","21569"
"Colombia","993"
"Costa Rica","125"
"Cuba","4"
"Cape Verde (Cabo Verde)","1"
"Curaçao","1"
"Cyprus","106"
"Czechia (Czech Republic)","1236"
"Germany","20210"
"Djibouti","32"
"Denmark","20889"
"Dominican Republic","113"
"Algeria","147"
"Ecuador","1831"
"Estonia","164"
"Egypt","610"
"Spain","11324"
"Ethiopia","1175"
"Finland","1486"
"Fiji","1117"
"France","10481"
"Gabon","65"
"United Kingdom of Great Britain and Northern Ireland","147048"
"Georgia","56"
"French Guiana","9"
"Ghana","787"
"Greenland","62"
"Gambia (Republic of The)","2352"
"Guinea","7"
"Guadeloupe","82"
"Greece","907"
"Guatemala","1854"
"Guam","1"
"Guinea-Bissau","27"
"Guyana","7"
"Hong Kong","762"
"Honduras","9"
"Croatia","383"
"Haiti","8"
"Hungary","1413"
"Indonesia","694"
"Ireland","4309"
"Israel","4205"
"India","3215"
"Iraq","58"
"Iran (Islamic Republic of)","164"
"Iceland","1362"
"Italy","4450"
"Jersey","4"
"Jordan","47"
"Japan","17381"
"Kenya","3860"
"Cambodia","2519"
"Comoros","5"
"Saint Kitts and Nevis","54"
"Democratic People's Republic of Korea (North Korea)","1"
"Republic of Korea (South Korea)","1808"
"Kuwait","396"
"Kazakhstan","5"
"Lao People's Democratic Republic (Laos)","343"
"Lebanon","516"
"Sri Lanka","140"
"Liberia","2"
"Lithuania","288"
"Luxembourg","304"
"Latvia","466"
"Libya","246"
"Morocco","67"
"Montenegro","53"
"Madagascar","706"
"North Macedonia","1"
"Mali","228"
"Myanmar","357"
"Mongolia","49"
"Martinique","12"
"Mauritania","4"
"Malta","38"
"Mauritius","13"
"Malawi","1960"
"Mexico","2289"
"Malaysia","299"
"Mozambique","325"
"New Caledonia","7"
"Niger","178"
"Nigeria","1218"
"Nicaragua","12"
"Netherlands","19391"
"Norway","10691"
"Nepal","1263"
"New Zealand","8179"
"Oman","313"
"Peru","2293"
"Papua New Guinea","85"
"Philippines","76"
"Pakistan","2072"
"Poland","1815"
"Puerto Rico","30"
"Occupied Palestinian territory, including East Jerusalem","94"
"Portugal","3891"
"Paraguay","433"
"Qatar","709"
"Réunion","15"
"Romania","498"
"Serbia","481"
"Russian Federation (Russia)","824"
"Rwanda","206"
"Saudi Arabia","1729"
"Sudan","18"
"Sweden","2937"
"Singapore","3335"
"Slovenia","1404"
"Slovakia","356"
"Sierra Leone","2"
"Senegal","60"
"Somalia","3"
"Suriname","4"
"South Sudan","7"
"El Salvador","3"
"Syrian Arab Republic (Syria)","2"
"Chad","2"
"Togo","24"
"Thailand","8494"
"Tajikistan","1"
"Timor-Leste","1"
"Tunisia","408"
"Tonga","4"
"T�rkiye (Turkey)","808"
"Trinidad and Tobago","102"
"Taiwan","894"
"United Republic of Tanzania (Tanzania)","1277"
"Ukraine","174"
"Uganda","622"
"United States of America","303901"
"Uruguay","54"
"Uzbekistan","3"
"Venezuela, Bolivarian Republic of","64"
"Viet Nam","3440"
"Vanuatu","3"
"Samoa","622"
,"5"
"Mayotte","3"
"South Africa","7491"
"Zambia","363"
"Zimbabwe","138"
